%	pRsent
&	qnd und
'bout	bxt
'cause	kuz
'course	kors
'cuse	kyWz
'em	um
'frisco	friskO
'gain	gen
'kay	kA
'm	um
'n	un
'round	rxnd
's	s z
'til	til
'tis	tiz
'twas	twuz
+	plus
:00	uklak
=	Ekwulz
@	qt
a	A u
a's	Az
a.	A
a.'s	Az
a.s	Az
a42128	AfortWwuntWAt
aaa	tripulA
aaberg	abRg
aachen	akun
aachener	akunR
aaker	akR
aalseth	alseT
aamodt	amut
aancor	ankor
aardema	ardemu
aardvark	ardvark
aaron	erun
aaron's	erunz
aarons	erunz
aaronson	arunsun erunsun
aaronson's	arunsunz erunsunz
aarti	artE
aase	as
aasen	asun
ab	AbE qb
ababa	abubu ubabu
abacha	qbuku
aback	ubqk
abaco	qbukO
abacus	qbukus
abad	ubad
abadaka	ubqduku
abadi	ubqdE
abadie	ubqdE
abair	uber
abalkin	ubalkin
abalone	qbulOnE
abalos	abalOz
abandon	ubqndun
abandoned	ubqndund
abandoning	ubqnduniN
abandonment	ubqndunmunt
abandonments	ubqndunmunts
abandons	ubqndunz
abanto	ubqntO
abarca	ubarku
abare	abarE
abascal	qbuskul
abash	ubqS
abashed	ubqSt
abasia	ubAZyu
abate	ubAt
abated	ubAtid
abatement	ubAtmunt
abatements	ubAtmunts
abates	ubAts
abating	ubAtiN
abba	qbu
abbado	ubadO
abbas	ubas
abbasi	abasE
abbate	abAt
abbatiello	abatEelO
abbe	qbA qbE
abbenhaus	qbunhxs
abbett	ubet
abbeville	qbvil
abbey	qbE
abbey's	qbEz
abbie	qbE
abbitt	qbit
abbot	qbut
abbotstown	qbutstxn
abbott	qbut
abbott's	qbuts
abbottstown	qbutstxn
abboud	ubWd ubxd
abbreviate	ubrEvEAt
abbreviated	ubrEvEAtid ubrEvEAtud
abbreviates	ubrEvEAts
abbreviating	ubrEvEAtiN
abbreviation	ubrEvEASun
abbreviations	ubrEvEASunz
abbruzzese	abrWtsAzE
abbs	qbz
abby	qbE
abco	qbkO
abcotek	qbkOtek
abdalla	qbdqlu
abdallah	qbdqlu
abdel	qbdel
abdella	qbdelu
abdicate	qbdukAt
